Country,Continent,Year,RANK,Happiness score,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Morocco,Africa,3155.47,100.0,5.06,2.405,1.208,0.268,0.565,0.492,0.02,0.102
Mozambique,Africa,2838.0,101.0,5.048,2.641,0.578,0.66,0.191,0.593,0.185,0.2
Namibia,Africa,3737.5,124.0,4.459,1.414,1.292,0.877,0.354,0.384,0.067,0.071
Netherlands,Europe,1662.0,5.0,7.415,2.137,1.945,1.206,0.787,0.651,0.271,0.419
New Zealand,Oceania,1953.92,10.0,7.2,1.954,1.852,1.235,0.752,0.68,0.245,0.483
Nicaragua,North America,2759.9,45.0,6.165,2.418,1.105,1.029,0.617,0.617,0.168,0.212
Nigeria,Africa,2669.08,118.0,4.552,1.784,1.079,0.732,0.3,0.444,0.175,0.038
North Macedonia,Europe,2339.0,89.0,5.199,1.461,1.505,0.863,0.637,0.488,0.215,0.031
Norway,Europe,1373.33,8.0,7.365,1.925,1.997,1.239,0.786,0.728,0.217,0.474
Pakistan,Asia,3108.52,121.0,4.516,1.94,1.049,0.413,0.374,0.448,0.181,0.112
Panama,North America,1743.5,37.0,6.309,2.086,1.715,1.107,0.709,0.592,0.049,0.051
Paraguay,South America,2803.0,73.0,5.578,1.555,1.409,1.13,0.624,0.629,0.171,0.059
Peru,South America,2281.65,74.0,5.559,1.89,1.397,0.865,0.735,0.545,0.09,0.037
Philippines,Asia,2103.1,60.0,5.904,2.283,1.268,0.912,0.514,0.678,0.107,0.142
Poland,Europe,1571.0,48.0,6.123,1.693,1.758,1.174,0.712,0.523,0.124,0.14
Portugal,Europe,2770.0,56.0,6.016,1.691,1.76,1.078,0.777,0.655,0.016,0.039
Romania,Europe,2115.0,28.0,6.477,2.446,1.719,1.006,0.655,0.605,0.039,0.006
Russian Federation,Europe,1972.79,80.0,5.459,1.494,1.685,1.095,0.586,0.401,0.117,0.08
Saudi Arabia,Asia,3236.5,25.0,6.523,2.075,1.87,1.092,0.577,0.651,0.078,0.18
Senegal,Africa,3146.0,103.0,5.046,2.419,0.933,0.53,0.447,0.494,0.143,0.081
Serbia,Europe,2055.0,43.0,6.178,2.031,1.55,1.086,0.658,0.546,0.219,0.088
Singapore,Asia,2022.4,27.0,6.48,0.932,2.149,1.127,0.851,0.672,0.163,0.587
Slovakia,Europe,2038.0,35.0,6.391,2.094,1.736,1.232,0.707,0.479,0.118,0.025
Slovenia,Europe,1974.0,22.0,6.63,1.885,1.81,1.249,0.769,0.685,0.118,0.115
South Africa,Africa,3141.32,91.0,5.194,1.742,1.425,1.088,0.361,0.442,0.089,0.046
"Korea, Republic of",Asia,2196.65,59.0,5.935,1.656,1.851,0.886,0.841,0.414,0.111,0.176
Spain,Europe,2800.2,29.0,6.476,1.893,1.808,1.211,0.808,0.505,0.101,0.149
Sweden,Europe,1782.5,7.0,7.384,2.003,1.92,1.204,0.803,0.724,0.218,0.512
Switzerland,Europe,1932.75,4.0,7.512,2.153,2.026,1.226,0.822,0.677,0.147,0.461
"Tanzania, United Republic of",Africa,3032.85,139.0,3.702,0.735,0.848,0.597,0.425,0.578,0.248,0.27
Thailand,Asia,2175.02,61.0,5.891,1.6,1.535,1.096,0.697,0.617,0.321,0.026
Togo,Africa,2579.95,135.0,4.112,2.061,0.771,0.322,0.36,0.292,0.174,0.132
Tunisia,Africa,3049.95,120.0,4.516,1.54,1.35,0.596,0.656,0.316,0.029,0.029
Türkiye,Asia,2333.8,112.0,4.744,1.059,1.707,0.865,0.702,0.209,0.087,0.115
Uganda,Africa,2304.0,117.0,4.603,1.842,0.777,0.875,0.418,0.402,0.222,0.066
Ukraine,Europe,1955.0,98.0,5.084,1.331,1.411,1.081,0.583,0.473,0.188,0.017
United Arab Emirates,Asia,3508.7,24.0,6.576,1.809,1.998,0.98,0.633,0.702,0.204,0.25
United Kingdom,Europe,1530.0,17.0,6.943,1.967,1.867,1.143,0.75,0.597,0.289,0.329
United States,North America,2827.62,16.0,6.977,2.214,1.982,1.182,0.628,0.574,0.22,0.177
Uruguay,South America,2481.4,30.0,6.474,1.974,1.615,1.18,0.672,0.665,0.103,0.265
Uzbekistan,Asia,2823.9,53.0,6.063,1.913,1.219,1.092,0.6,0.716,0.283,0.24
"Venezuela, Bolivarian Republic of",South America,2895.3,108.0,4.925,2.79,0.0,0.968,0.578,0.283,0.225,0.082
Viet Nam,Asia,2123.5,77.0,5.485,1.735,1.252,0.932,0.611,0.707,0.143,0.105
Zambia,Africa,2965.47,137.0,3.76,1.135,0.93,0.577,0.306,0.525,0.203,0.083
Zimbabwe,Africa,3065.4,144.0,2.995,0.548,0.947,0.69,0.27,0.329,0.106,0.105
